date,value,change,增减
2025-05-13,20,0.0,
2025-05-14,40,20.0,
2025-05-15,90,50.0,
2025-05-16,90,0.0,
2025-05-19,90,0.0,
2025-05-20,140,50.0,
2025-05-21,450,310.0,
2025-05-22,460,10.0,
2025-05-23,470,10.0,
2025-05-26,470,0.0,
2025-05-27,470,0.0,
2025-05-28,470,0.0,
2025-05-29,470,0.0,
2025-05-30,470,0.0,
2025-06-03,1570,1100.0,
2025-06-04,1920,350.0,
2025-06-05,2030,110.0,
2025-06-06,2460,430.0,
2025-06-09,2480,20.0,
2025-06-10,2480,0.0,
2025-06-11,2600,120.0,
2025-06-12,2600,0.0,
2025-06-13,2600,0.0,
2025-06-16,2600,0.0,
2025-06-17,2600,0.0,
2025-06-18,2600,0.0,
2025-06-19,2600,0.0,
2025-06-20,2600,0.0,
2025-06-23,2600,0.0,
2025-06-24,2600,0.0,
2025-06-25,2600,0.0,
2025-06-26,2600,0.0,
2025-06-27,2600,0.0,
2025-06-30,2600,0.0,
2025-07-01,2600,0.0,
2025-07-02,2780,180.0,
2025-07-03,2780,0.0,
2025-07-04,2780,0.0,
2025-07-07,2780,0.0,
2025-07-08,2780,0.0,
2025-07-09,2780,0.0,
2025-07-10,2780,0.0,
2025-07-11,2780,0.0,
2025-07-14,2780,0.0,
2025-07-15,2780,0.0,
2025-07-16,2780,0.0,
2025-07-17,2780,0.0,
2025-07-18,2780,0.0,
2025-07-21,2780,0.0,
2025-07-22,2780,0.0,
2025-07-23,2780,0.0,
2025-07-24,3020,240.0,
2025-07-25,3020,0.0,
2025-07-28,3020,0.0,
2025-07-29,3070,50.0,
2025-07-30,3070,0.0,
2025-07-31,3200,130.0,
2025-08-01,3200,0.0,
2025-08-04,3200,0.0,
2025-08-05,3450,250.0,
2025-08-06,3520,70.0,
2025-08-07,3580,60.0,
2025-08-08,3620,40.0,
2025-08-11,4700,1080.0,
2025-08-12,4940,240.0,
2025-08-13,5150,210.0,
2025-08-14,5480,330.0,
2025-08-15,5600,120.0,
2025-08-18,5820,220.0,
2025-08-19,5930,110.0,
2025-08-20,6370,440.0,
2025-08-21,6460,90.0,
2025-08-22,6540,80.0,
2025-08-25,6730,190.0,
2025-08-26,6870,140.0,
2025-08-27,6880,10.0,
2025-08-28,6880,0.0,
2025-08-29,6880,0.0,
2025-09-01,6880,0.0,
2025-09-02,6870,-10.0,
2025-09-03,6870,0.0,
2025-09-04,6870,0.0,
2025-09-05,6870,0.0,
2025-09-08,6870,0.0,
2025-09-09,6870,0.0,
2025-09-10,7370,500.0,
2025-09-11,7690,320.0,
2025-09-12,7820,130.0,
2025-09-15,7850,30.0,
2025-09-16,7850,0.0,
2025-09-17,7880,30.0,
2025-09-18,7880,0.0,
2025-09-19,7900,20.0,
2025-09-22,7870,-30.0,
2025-09-23,7870,0.0,
2025-09-24,7850,-20.0,
2025-09-25,7880,30.0,
2025-09-26,7880,0.0,
2025-09-29,7950,70.0,
2025-09-30,8090,140.0,
2025-10-09,8140,50.0,
2025-10-10,8140,0.0,
2025-10-13,7900,-240.0,
2025-10-14,7950,50.0,
2025-10-15,8050,100.0,
