date,symbol,close,volume,open_interest,roll_yield
20250526,ZN2506,22405.0,39849.0,44433.0,-0.118413160886803
20250526,ZN2507,22185.0,142739.0,118520.0,-0.070524615287637
20250526,ZN2508,22055.0,30273.0,41156.0,-0.0490686735499218
20250526,ZN2509,21965.0,7173.0,16590.0,-0.043785681418611
20250526,ZN2510,21885.0,702.0,3933.0,-0.0274474044640125
20250526,ZN2511,21835.0,60.0,1721.0,-0.005497022542301
20250526,ZN2512,21825.0,30.0,1008.0,-0.04682664039123
20250526,ZN2601,21740.0,18.0,295.0,-0.0193347952980786
20250526,ZN2602,21705.0,13.0,166.0,-0.0027646584617154
20250526,ZN2603,21700.0,24.0,228.0,-0.038772246977357
20250526,ZN2604,21630.0,14.0,139.0,-0.0055491330468617
20250526,ZN2605,21620.0,30.0,41.0,0.0
20250527,ZN2506,22585.0,69571.0,30632.0,-0.1362588390540117
20250527,ZN2507,22330.0,343177.0,121568.0,-0.0944143344073641
20250527,ZN2508,22155.0,84550.0,45668.0,-0.070620393950515
20250527,ZN2509,22025.0,28972.0,18851.0,-0.0245426741612146
20250527,ZN2510,21980.0,3188.0,4140.0,-0.0328018427479258
20250527,ZN2511,21920.0,695.0,1828.0,-0.0301473265791697
20250527,ZN2512,21865.0,285.0,1033.0,-0.0302232558161544
20250527,ZN2601,21810.0,64.0,298.0,-0.0358168099672314
20250527,ZN2602,21745.0,55.0,165.0,0.0
20250527,ZN2603,21745.0,44.0,228.0,-0.0193303459128155
20250527,ZN2604,21710.0,29.0,137.0,-0.0082939756786377
20250527,ZN2605,21695.0,38.0,48.0,0.0
20250528,ZN2506,22500.0,22669.0,25603.0,-0.1556720556484598
20250528,ZN2507,22210.0,162225.0,123007.0,-0.0949264753486295
20250528,ZN2508,22035.0,51102.0,52602.0,-0.0682673362389019
20250528,ZN2509,21910.0,10985.0,20092.0,-0.0411476000382111
20250528,ZN2510,21835.0,1673.0,3987.0,-0.0247564557719496
20250528,ZN2511,21790.0,307.0,1837.0,-0.0275672071615811
20250528,ZN2512,21740.0,267.0,1086.0,-0.0165707736343551
20250528,ZN2601,21710.0,69.0,341.0,-0.0276689078082717
20250528,ZN2602,21660.0,37.0,167.0,0.0055388877050788
20250528,ZN2603,21670.0,25.0,233.0,-0.0221709069996031
20250528,ZN2604,21630.0,14.0,133.0,-0.027771361619746
20250528,ZN2605,21580.0,23.0,52.0,0.0
20250529,ZN2506,22780.0,23991.0,20306.0,-0.1510787487108055
20250529,ZN2507,22495.0,184818.0,119380.0,-0.1233254822336395
20250529,ZN2508,22265.0,68320.0,58588.0,-0.0784051454343798
20250529,ZN2509,22120.0,19526.0,22046.0,-0.0543725443152016
20250529,ZN2510,22020.0,2829.0,3802.0,-0.0327421758384487
20250529,ZN2511,21960.0,652.0,1837.0,-0.0328317578264969
20250529,ZN2512,21900.0,428.0,1054.0,-0.0164496256053445
20250529,ZN2601,21870.0,80.0,389.0,-0.0329670537016656
20250529,ZN2602,21810.0,47.0,177.0,-0.013763047729587
20250529,ZN2603,21785.0,31.0,235.0,-0.0275735415438005
20250529,ZN2604,21735.0,19.0,140.0,-0.0304042544317187
20250529,ZN2605,21680.0,31.0,54.0,0.0
20250530,ZN2506,22650.0,14550.0,15145.0,-0.2273048463488968
20250530,ZN2507,22225.0,181701.0,116614.0,-0.1330179890939151
20250530,ZN2508,21980.0,63726.0,61117.0,-0.1041816002273621
20250530,ZN2509,21790.0,17946.0,25270.0,-0.0469020024596598
20250530,ZN2510,21705.0,3035.0,4291.0,-0.0249048861445476
20250530,ZN2511,21660.0,621.0,1994.0,-0.0110854511347652
20250530,ZN2512,21640.0,199.0,1169.0,-0.0222016714579377
20250530,ZN2601,21600.0,79.0,428.0,-0.0333797155425216
20250530,ZN2602,21540.0,39.0,191.0,-0.0223048391355052
20250530,ZN2603,21500.0,36.0,246.0,0.0027903732249895
20250530,ZN2604,21505.0,12.0,139.0,-0.0111653881048939
20250530,ZN2605,21485.0,26.0,70.0,0.0
20250603,ZN2506,22570.0,6940.0,13265.0,-0.2091673068866807
20250603,ZN2507,22180.0,155440.0,122728.0,-0.1305543249016417
20250603,ZN2508,21940.0,57500.0,66136.0,-0.0988563943121074
20250603,ZN2509,21760.0,17407.0,27288.0,-0.0552741649787683
20250603,ZN2510,21660.0,2889.0,4797.0,-0.027732852648599
20250603,ZN2511,21610.0,460.0,2094.0,-0.0250144850278576
20250603,ZN2512,21565.0,324.0,1240.0,-0.0557751410793898
20250603,ZN2601,21465.0,92.0,461.0,-0.0195827062924597
20250603,ZN2602,21430.0,41.0,195.0,-0.0252248136793643
20250603,ZN2603,21385.0,65.0,260.0,-0.0056127222725768
20250603,ZN2604,21375.0,22.0,143.0,-0.0309169863021614
20250603,ZN2605,21320.0,18.0,83.0,0.0
20250604,ZN2506,22755.0,4225.0,11770.0,-0.1779778058950965
20250604,ZN2507,22420.0,169465.0,123944.0,-0.0994295241762489
20250604,ZN2508,22235.0,66754.0,65429.0,-0.0676515491196586
20250604,ZN2509,22110.0,22356.0,27961.0,-0.0571235352756027
20250604,ZN2510,22005.0,2236.0,4854.0,-0.0327645254742885
20250604,ZN2511,21945.0,381.0,1978.0,-0.0355961470370024
20250604,ZN2512,21880.0,127.0,1204.0,-0.0357020517384904
20250604,ZN2601,21815.0,96.0,484.0,-0.0027507163444228
20250604,ZN2602,21810.0,58.0,162.0,-0.0302995684907306
20250604,ZN2603,21755.0,47.0,254.0,-0.0359074960063248
20250604,ZN2604,21690.0,23.0,145.0,-0.0027665706174414
20250604,ZN2605,21685.0,83.0,81.0,0.0
20250605,ZN2506,22630.0,5250.0,10220.0,-0.1547719920526959
20250605,ZN2507,22340.0,146875.0,124586.0,-0.0862537406260041
20250605,ZN2508,22180.0,50695.0,66825.0,-0.0650996171623742
20250605,ZN2509,22060.0,17494.0,29520.0,-0.0490575291460503
20250605,ZN2510,21970.0,2423.0,5005.0,-0.019132221340098
20250605,ZN2511,21935.0,1596.0,2350.0,-0.0493376665773367
20250605,ZN2512,21845.0,205.0,1214.0,-0.0412702458833174
20250605,ZN2601,21770.0,58.0,492.0,-0.022068971737413
20250605,ZN2602,21730.0,20.0,172.0,-0.0082863393786365
20250605,ZN2603,21715.0,29.0,242.0,-0.0138232937760267
