时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2024-11-18,764.0,764.0,764.0,764.0,764.0,30.0,0.0,0.0,0.0,0.0,764.0,764.0,764.0,0.0,46.66666666666666,46.66666666666666,46.66666666666667,-53.333333333333336,0.0,0.0,89550.0,0,10593.0,0.0,0.0
2024-11-19,768.0,768.0,768.0,768.0,764.7619047619048,23.25,99.9999999975,0.6381766381766738,0.1276353276353347,0.510541310541339,779.3137084989847,756.6862915010153,768.0,22.62741699796948,55.55555555555555,49.629629629629626,67.4074074074074,-26.666666666666668,35.355339059327726,100.0,77869.5,66189,11006.5,827.0,7.807042386481644
2024-11-20,768.6666666666666,768.6666666666666,768.6666666666666,768.6666666666666,765.2607709750567,19.0,80.0,0.9713557519825144,0.2963794125047707,0.6749763394777437,776.9933306645312,760.3400026688021,768.6666666666666,16.653327995729114,59.25925925925925,52.83950617283951,72.09876543209876,-33.333333333333336,23.48980879373406,80.00000000200001,60251.333333333336,41174,10687.0,-1372.0,-12.014010507880911
2024-11-21,780.125,780.125,780.125,780.125,769.9502213583846,25.875,96.3302752293578,4.771181487847571,1.191339827573331,3.57984166027424,826.4598321100516,733.7901678899484,780.125,92.6696642201032,72.83950617283949,59.50617283950616,99.50617283950616,-0.0,73.93894624329273,96.33027523176604,95624.75,242919,16754.0,24907.0,247.88017515923565
2024-11-22,786.0,786.0,786.0,786.0,773.7168669433004,25.7,88.23529411764706,7.295020095857808,2.4120758812302263,4.882944214627582,833.9635278102018,738.0364721897982,786.0,95.92705562040352,74.31724653946875,64.44319740616035,94.06534480608556,-22.727272727272727,69.24086096770439,88.23529411985295,133096.8,-40066,18878.4,-7579.0,-21.682162780718063
2024-11-25,792.7,787.9166666666666,787.9166666666666,787.9166666666666,775.9819272344147,25.58333333333333,73.42657342657343,8.231987437223552,3.576058192428892,4.65592924479466,831.8321157326465,744.0012176006868,787.9166666666666,87.83089813195966,70.10760158908306,66.33133213380125,77.66014049964667,-38.31168831168832,36.40601006801749,73.42657342840909,142931.83333333334,-232173,20102.33333333333,-1154.0,-4.215371127995327
2024-11-26,797.7,789.2142857142857,789.2142857142857,789.2142857142857,777.9836484501848,23.785714285714285,72.91666666666667,8.832380796558823,4.627322713254879,4.205058083303944,829.8871970224981,748.5413744060733,789.2142857142857,81.34582261642481,67.08472140570906,66.58246189110386,68.08924043491947,-38.96103896103896,27.56935207511071,72.91666666848958,135623.0,-323943,21091.85714285714,807.0,3.077568453969959
2024-11-27,803.0,790.125,790.125,790.125,779.7471105025481,21.9375,72.41379310344828,9.162234502060072,5.534305071015918,3.627929431044155,828.1315783779598,752.1184216220402,790.125,76.01315675591968,64.85301773367617,66.00598050529463,62.54709219043926,-39.61038961038961,20.43138459016421,72.41379310525863,126043.75,-382932,21568.375,-2125.0,-7.861926079396209
2024-11-28,799.6,790.9444444444445,790.9444444444445,790.9444444444445,781.4378618832578,21.83333333333333,72.7891156462585,9.396026043383811,6.306649265489497,3.089376777894316,826.8347092959486,755.0541795929403,790.9444444444445,71.78052970300837,63.79811571855467,65.27002557638131,60.85429600290138,-38.31168831168832,33.28683879296847,72.78911564807822,125906.55555555556,-258123,21827.777777777777,-1001.0,-4.01943462897526
2024-11-29,798.0,792.0,792.0,792.0,783.3485417039,20.55,74.19354838709677,9.791207153613072,7.003560843114213,2.787646310498859,826.4899341193276,757.5100658806724,792.0,68.97986823865517,62.88831124239523,64.47612079838595,59.71269213041381,-33.11688311688312,27.58172778073321,74.19354838895161,117175.8,-219524,21736.5,-2988.0,-12.500522946910433
