date,receipt,change
2025-07-28,12695,
2025-07-29,12895,
2025-07-30,12695,-200.0
2025-07-31,12625,-70.0
2025-08-01,12625,0.0
2025-08-04,12305,
2025-08-05,12305,0.0
2025-08-06,12585,
2025-08-07,12565,-20.0
2025-08-08,12540,-25.0
2025-08-11,12540,0.0
2025-08-12,12540,0.0
2025-08-13,12740,200.0
2025-08-14,12860,120.0
2025-08-15,12860,0.0
2025-08-18,12860,0.0
2025-08-19,14040,1180.0
2025-08-20,13940,-100.0
2025-08-21,13940,0.0
2025-08-22,14055,115.0
2025-08-25,14055,0.0
2025-08-26,14055,0.0
2025-08-27,14055,0.0
2025-08-28,14055,0.0
2025-08-29,12925,-1130.0
2025-09-01,14130,1205.0
2025-09-02,14130,0.0
2025-09-03,13802,-328.0
2025-09-04,13795,-7.0
2025-09-05,13699,-96.0
2025-09-08,13723,24.0
2025-09-09,13813,90.0
2025-09-10,13749,-64.0
2025-09-11,13749,0.0
2025-09-12,13706,-43.0
2025-09-15,13706,0.0
2025-09-16,13706,0.0
2025-09-17,13706,0.0
2025-09-18,13676,-30.0
2025-09-19,13499,-177.0
2025-09-22,13477,-22.0
2025-09-23,13413,-64.0
2025-09-24,14158,745.0
2025-09-25,14118,-40.0
2025-09-26,14118,0.0
2025-09-29,14098,-20.0
2025-09-30,14098,0.0
2025-10-09,14030,-68.0
2025-10-10,13970,-60.0
2025-10-13,13970,0.0
2025-10-14,13814,-156.0
2025-10-15,13814,0.0
2025-10-16,13778,-36.0
2025-10-17,14313,535.0
2025-10-20,14656,343.0
2025-10-21,14586,-70.0
2025-10-22,14586,0.0
2025-10-23,14586,0.0
2025-10-24,14586,0.0
2025-10-27,14586,0.0
2025-10-28,14573,-13.0
2025-10-29,14569,-4.0
2025-10-30,14569,0.0
2025-10-31,14569,0.0
2025-11-03,14569,0.0
2025-11-04,14569,0.0
2025-11-05,14629,60.0
2025-11-06,14629,0.0
2025-11-07,14629,0.0
2025-11-10,14629,0.0
2025-11-11,14629,0.0
2025-11-12,14642,13.0
2025-11-13,14642,0.0
2025-11-14,14642,0.0
