date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,EB,8230.0,eb2506,7728.0,eb2507,7603.0,2506.0,2507.0,-502.0,-627.0,-0.0609963547995139,-0.0761846901579587
2025-06-17,EB,8230.0,eb2506,7636.0,eb2507,7467.0,2506.0,2507.0,-594.0,-763.0,-0.0721749696233292,-0.0927095990279465
2025-06-18,EB,8230.0,eb2506,7753.0,eb2508,7510.0,2506.0,2508.0,-477.0,-720.0,-0.0579586877278249,-0.0874848116646415
2025-06-19,EB,8220.0,eb2506,7753.0,eb2508,7599.0,2506.0,2508.0,-467.0,-621.0,-0.0568126520681264,-0.0755474452554744
2025-06-20,EB,8226.0,eb2506,7820.0,eb2508,7635.0,2506.0,2508.0,-406.0,-591.0,-0.049355701434476,-0.0718453683442742
2025-06-23,EB,8244.0,eb2506,7820.0,eb2508,7595.0,2506.0,2508.0,-424.0,-649.0,-0.0514313440077631,-0.0787239204269771
2025-06-24,EB,8264.0,eb2506,7411.0,eb2508,7339.0,2506.0,2508.0,-853.0,-925.0,-0.103218780251694,-0.1119312681510165
2025-06-25,EB,8224.0,eb2506,7642.0,eb2508,7248.0,2506.0,2508.0,-582.0,-976.0,-0.0707684824902723,-0.1186770428015564
2025-06-26,EB,8164.0,eb2507,7425.0,eb2508,7299.0,2507.0,2508.0,-739.0,-865.0,-0.0905193532582068,-0.1059529642332189
2025-06-27,EB,8084.0,eb2507,7448.0,eb2508,7312.0,2507.0,2508.0,-636.0,-772.0,-0.0786739238000989,-0.0954972785749629
2025-06-30,EB,8050.0,eb2507,7429.0,eb2508,7306.0,2507.0,2508.0,-621.0,-744.0,-0.0771428571428571,-0.0924223602484471
2025-07-01,EB,8036.0,eb2507,7422.0,eb2508,7273.0,2507.0,2508.0,-614.0,-763.0,-0.0764061722249875,-0.0949477351916376
2025-07-02,EB,8036.0,eb2507,7397.0,eb2508,7250.0,2507.0,2508.0,-639.0,-786.0,-0.0795171727227476,-0.0978098556495769
2025-07-03,EB,7904.0,eb2507,7422.0,eb2508,7288.0,2507.0,2508.0,-482.0,-616.0,-0.0609817813765182,-0.0779352226720647
2025-07-04,EB,7904.0,eb2507,7539.0,eb2508,7357.0,2507.0,2508.0,-365.0,-547.0,-0.0461791497975708,-0.0692054655870445
2025-07-07,EB,7914.0,eb2507,7539.0,eb2508,7354.0,2507.0,2508.0,-375.0,-560.0,-0.0473843821076572,-0.0707606772807682
2025-07-08,EB,7914.0,eb2507,7499.0,eb2508,7334.0,2507.0,2508.0,-415.0,-580.0,-0.0524387161991407,-0.07328784432651
2025-07-09,EB,7908.0,eb2507,7499.0,eb2508,7320.0,2507.0,2508.0,-409.0,-588.0,-0.0517197774405665,-0.0743550834597875
2025-07-10,EB,7908.0,eb2507,7499.0,eb2508,7436.0,2507.0,2508.0,-409.0,-472.0,-0.0517197774405665,-0.0596863935255437
2025-07-11,EB,7908.0,eb2507,7598.0,eb2508,7466.0,2507.0,2508.0,-310.0,-442.0,-0.0392008093070308,-0.0558927668184117
2025-07-14,EB,7936.0,eb2507,7414.0,eb2508,7467.0,2507.0,2508.0,-522.0,-469.0,-0.0657762096774193,-0.0590977822580645
2025-07-15,EB,7956.0,eb2507,7253.0,eb2508,7395.0,2507.0,2508.0,-703.0,-561.0,-0.0883609854198089,-0.0705128205128204
2025-07-16,EB,7946.0,eb2507,7260.0,eb2509,7253.0,2507.0,2509.0,-686.0,-693.0,-0.0863327460357412,-0.087213692423861
2025-07-17,EB,7900.0,eb2507,7260.0,eb2509,7221.0,2507.0,2509.0,-640.0,-679.0,-0.081012658227848,-0.0859493670886075
2025-07-18,EB,7846.0,eb2507,7350.0,eb2509,7246.0,2507.0,2509.0,-496.0,-600.0,-0.0632169258220749,-0.0764720876879938
2025-07-21,EB,7856.0,eb2507,7387.0,eb2509,7371.0,2507.0,2509.0,-469.0,-485.0,-0.0596995926680244,-0.0617362525458248
2025-07-22,EB,7860.0,eb2507,7387.0,eb2509,7429.0,2507.0,2509.0,-473.0,-431.0,-0.060178117048346,-0.0548346055979643
2025-07-23,EB,7754.0,eb2507,7387.0,eb2509,7433.0,2507.0,2509.0,-367.0,-321.0,-0.0473304101109105,-0.041397988135156
2025-07-24,EB,7744.0,eb2507,7387.0,eb2509,7406.0,2507.0,2509.0,-357.0,-338.0,-0.0461002066115702,-0.0436466942148759
2025-07-25,EB,7736.0,eb2507,7387.0,eb2509,7506.0,2507.0,2509.0,-349.0,-230.0,-0.0451137538779731,-0.0297311271975181
2025-07-28,EB,7720.0,eb2507,7330.0,eb2509,7441.0,2507.0,2509.0,-390.0,-279.0,-0.0505181347150258,-0.036139896373057
2025-07-29,EB,7720.0,eb2508,7347.0,eb2509,7359.0,2508.0,2509.0,-373.0,-361.0,-0.0483160621761658,-0.0467616580310881
2025-07-30,EB,7720.0,eb2508,7365.0,eb2509,7404.0,2508.0,2509.0,-355.0,-316.0,-0.0459844559585492,-0.0409326424870466
2025-07-31,EB,7694.0,eb2508,7328.0,eb2509,7373.0,2508.0,2509.0,-366.0,-321.0,-0.0475695347023654,-0.0417208214192877
2025-08-01,EB,7646.0,eb2508,7262.0,eb2509,7319.0,2508.0,2509.0,-384.0,-327.0,-0.0502223384776353,-0.0427674601098613
2025-08-04,EB,7610.0,eb2508,7225.0,eb2509,7273.0,2508.0,2509.0,-385.0,-337.0,-0.0505913272010511,-0.0442838370565046
2025-08-05,EB,7564.0,eb2508,7251.0,eb2509,7267.0,2508.0,2509.0,-313.0,-297.0,-0.0413802221047064,-0.039264939185616
2025-08-06,EB,7570.0,eb2508,7299.0,eb2509,7283.0,2508.0,2509.0,-271.0,-287.0,-0.0357992073976222,-0.0379128137384412
2025-08-07,EB,7630.0,eb2508,7299.0,eb2509,7309.0,2508.0,2509.0,-331.0,-321.0,-0.0433813892529488,-0.0420707732634337
2025-08-08,EB,7640.0,eb2508,7299.0,eb2509,7268.0,2508.0,2509.0,-341.0,-372.0,-0.0446335078534031,-0.0486910994764397
2025-08-11,EB,7604.0,eb2508,7322.0,eb2509,7253.0,2508.0,2509.0,-282.0,-351.0,-0.0370857443450814,-0.0461599158337716
2025-08-12,EB,7610.0,eb2508,7322.0,eb2509,7314.0,2508.0,2509.0,-288.0,-296.0,-0.0378449408672798,-0.0388961892247043
2025-08-13,EB,7622.0,eb2508,7322.0,eb2509,7299.0,2508.0,2509.0,-300.0,-323.0,-0.0393597480976122,-0.0423773287850958
2025-08-14,EB,7656.0,eb2508,7322.0,eb2509,7278.0,2508.0,2509.0,-334.0,-378.0,-0.0436259143155695,-0.049373040752351
2025-08-15,EB,7596.0,eb2508,7322.0,eb2509,7235.0,2508.0,2509.0,-274.0,-361.0,-0.0360716166403369,-0.0475250131648236
2025-08-18,EB,7568.0,eb2508,7322.0,eb2510,7225.0,eb2508,eb2510,-246.0,-343.0,-0.0325052854122621,-0.0453224101479915
2025-08-19,EB,7572.0,eb2508,7263.0,eb2510,7239.0,eb2508,eb2510,-309.0,-333.0,-0.0408082408874801,-0.0439778129952456
2025-08-20,EB,7572.0,eb2508,7000.0,eb2510,7224.0,eb2508,eb2510,-572.0,-348.0,-0.0755414685684099,-0.045958795562599
2025-08-21,EB,7582.0,eb2508,7000.0,eb2510,7267.0,eb2508,eb2510,-582.0,-315.0,-0.0767607491427063,-0.0415457662885782
2025-08-22,EB,7594.0,eb2508,7000.0,eb2510,7346.0,2508.0,2510.0,-594.0,-248.0,-0.0782196470898077,-0.0326573610745325
2025-08-25,EB,7624.0,eb2508,7000.0,eb2510,7380.0,eb2508,eb2510,-624.0,-244.0,-0.0818467995802728,-0.0320041972717733
2025-08-26,EB,7618.0,eb2508,7260.0,eb2510,7317.0,eb2508,eb2510,-358.0,-301.0,-0.0469939616697295,-0.0395116828563927
2025-08-27,EB,7610.0,eb2509,7185.0,eb2510,7227.0,eb2509,eb2510,-425.0,-383.0,-0.0558475689881734,-0.0503285151116951
2025-08-28,EB,7570.0,eb2509,7109.0,eb2510,7148.0,eb2509,eb2510,-461.0,-422.0,-0.060898282694848,-0.0557463672391017
