排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,13818,-389.0,2025-08-18,sm2509,空单持仓,SM
2,国泰君安,18947,-116.0,2025-08-18,sm2509,空单持仓,SM
3,华泰期货,15304,-483.0,2025-08-18,sm2509,空单持仓,SM
4,银河期货,13455,106.0,2025-08-18,sm2509,空单持仓,SM
5,申银万国,12554,320.0,2025-08-18,sm2509,空单持仓,SM
6,招商期货,8108,-109.0,2025-08-18,sm2509,空单持仓,SM
7,光大期货,18419,-392.0,2025-08-18,sm2509,空单持仓,SM
8,中粮期货,17704,158.0,2025-08-18,sm2509,空单持仓,SM
9,东证期货,18686,-40.0,2025-08-18,sm2509,空单持仓,SM
10,海通期货,15548,-96.0,2025-08-18,sm2509,空单持仓,SM
1,中信期货,11181,-450.0,2025-08-19,sm2509,空单持仓,SM
2,国泰君安,17043,98.0,2025-08-19,sm2509,空单持仓,SM
3,华泰期货,20287,484.0,2025-08-19,sm2509,空单持仓,SM
4,银河期货,20094,-376.0,2025-08-19,sm2509,空单持仓,SM
5,申银万国,16900,23.0,2025-08-19,sm2509,空单持仓,SM
6,招商期货,14711,-205.0,2025-08-19,sm2509,空单持仓,SM
7,光大期货,13114,119.0,2025-08-19,sm2509,空单持仓,SM
8,中粮期货,16504,100.0,2025-08-19,sm2509,空单持仓,SM
9,东证期货,6322,312.0,2025-08-19,sm2509,空单持仓,SM
10,海通期货,16110,-20.0,2025-08-19,sm2509,空单持仓,SM
1,中信期货,7055,-159.0,2025-08-20,sm2509,空单持仓,SM
2,国泰君安,14453,-231.0,2025-08-20,sm2509,空单持仓,SM
3,华泰期货,19196,-116.0,2025-08-20,sm2509,空单持仓,SM
4,银河期货,14003,184.0,2025-08-20,sm2509,空单持仓,SM
5,申银万国,10682,7.0,2025-08-20,sm2509,空单持仓,SM
6,招商期货,8599,307.0,2025-08-20,sm2509,空单持仓,SM
7,光大期货,18174,249.0,2025-08-20,sm2509,空单持仓,SM
8,中粮期货,19149,162.0,2025-08-20,sm2509,空单持仓,SM
9,东证期货,6346,233.0,2025-08-20,sm2509,空单持仓,SM
10,海通期货,16219,360.0,2025-08-20,sm2509,空单持仓,SM
1,中信期货,7498,318.0,2025-08-21,sm2509,空单持仓,SM
2,国泰君安,8270,-281.0,2025-08-21,sm2509,空单持仓,SM
3,华泰期货,14659,-243.0,2025-08-21,sm2509,空单持仓,SM
4,银河期货,6262,-310.0,2025-08-21,sm2509,空单持仓,SM
5,申银万国,16614,171.0,2025-08-21,sm2509,空单持仓,SM
6,招商期货,13690,225.0,2025-08-21,sm2509,空单持仓,SM
7,光大期货,14255,-244.0,2025-08-21,sm2509,空单持仓,SM
8,中粮期货,10565,345.0,2025-08-21,sm2509,空单持仓,SM
9,东证期货,19428,209.0,2025-08-21,sm2509,空单持仓,SM
10,海通期货,17800,-380.0,2025-08-21,sm2509,空单持仓,SM
1,中信期货,9886,383.0,2025-08-22,sm2509,空单持仓,SM
2,国泰君安,18349,-499.0,2025-08-22,sm2509,空单持仓,SM
3,华泰期货,9130,216.0,2025-08-22,sm2509,空单持仓,SM
4,银河期货,9771,264.0,2025-08-22,sm2509,空单持仓,SM
5,申银万国,14458,-449.0,2025-08-22,sm2509,空单持仓,SM
6,招商期货,20290,438.0,2025-08-22,sm2509,空单持仓,SM
7,光大期货,12182,405.0,2025-08-22,sm2509,空单持仓,SM
8,中粮期货,7289,-32.0,2025-08-22,sm2509,空单持仓,SM
