date,symbol,spot_price,near_contract,near_contract_price,dominant_contract,dominant_contract_price,near_month,dominant_month,near_basis,dom_basis,near_basis_rate,dom_basis_rate
2025-06-16,CY,23725.0,CY506,19385.0,CY509,19765.0,,,-4340.0,-3960.0,-0.1829293993677555,-0.1669125395152793
2025-06-17,CY,23575.0,CY507,19825.0,CY509,19750.0,,,-3750.0,-3825.0,-0.1590668080593849,-0.1622481442205726
2025-06-18,CY,23575.0,CY507,19910.0,CY509,19835.0,,,-3665.0,-3740.0,-0.1554612937433722,-0.1586426299045599
2025-06-19,CY,23575.0,CY507,19800.0,CY509,19760.0,,,-3775.0,-3815.0,-0.1601272534464475,-0.1618239660657475
2025-06-20,CY,23575.0,CY507,19795.0,CY509,19775.0,,,-3780.0,-3800.0,-0.16033934252386,-0.16118769883351
2025-06-23,CY,23550.0,CY507,19735.0,CY509,19730.0,,,-3815.0,-3820.0,-0.1619957537154989,-0.1622080679405519
2025-06-24,CY,23200.0,CY507,19730.0,CY509,19780.0,,,-3470.0,-3420.0,-0.1495689655172414,-0.1474137931034482
2025-06-25,CY,23200.0,CY507,19850.0,CY509,19935.0,,,-3350.0,-3265.0,-0.1443965517241379,-0.1407327586206896
2025-06-26,CY,23200.0,CY507,19965.0,CY509,20080.0,,,-3235.0,-3120.0,-0.1394396551724137,-0.1344827586206897
2025-06-27,CY,23200.0,CY507,20040.0,CY509,20105.0,,,-3160.0,-3095.0,-0.1362068965517241,-0.1334051724137931
2025-06-30,CY,23200.0,CY507,20065.0,CY509,20110.0,,,-3135.0,-3090.0,-0.1351293103448275,-0.1331896551724137
2025-07-01,CY,23200.0,CY507,20035.0,CY509,20000.0,,,-3165.0,-3200.0,-0.1364224137931035,-0.1379310344827586
2025-07-02,CY,23200.0,CY507,19970.0,CY509,20065.0,,,-3230.0,-3135.0,-0.1392241379310345,-0.1351293103448275
2025-07-03,CY,23200.0,CY507,19950.0,CY509,20060.0,,,-3250.0,-3140.0,-0.1400862068965517,-0.1353448275862069
2025-07-04,CY,23200.0,CY507,19920.0,CY509,20030.0,,,-3280.0,-3170.0,-0.1413793103448275,-0.1366379310344827
2025-07-07,CY,23200.0,CY507,19910.0,CY509,20020.0,,,-3290.0,-3180.0,-0.1418103448275862,-0.1370689655172413
2025-07-08,CY,23200.0,CY507,19840.0,CY509,19950.0,,,-3360.0,-3250.0,-0.1448275862068965,-0.1400862068965517
2025-07-09,CY,23200.0,CY507,19805.0,CY509,19915.0,,,-3395.0,-3285.0,-0.1463362068965517,-0.1415948275862069
2025-07-10,CY,23200.0,CY507,19895.0,CY509,20005.0,,,-3305.0,-3195.0,-0.1424568965517241,-0.1377155172413793
2025-07-11,CY,23200.0,CY507,19960.0,CY509,20070.0,,,-3240.0,-3130.0,-0.1396551724137931,-0.1349137931034483
2025-07-14,CY,23200.0,CY507,20015.0,CY509,20125.0,,,-3185.0,-3075.0,-0.1372844827586207,-0.1325431034482759
2025-07-15,CY,23275.0,CY508,19700.0,CY509,20050.0,,,-3575.0,-3225.0,-0.1535982814178302,-0.1385606874328678
2025-07-16,CY,23275.0,CY508,19785.0,CY509,20135.0,,,-3490.0,-3140.0,-0.1499462943071965,-0.1349087003222341
2025-07-17,CY,23275.0,CY508,20000.0,CY509,20355.0,,,-3275.0,-2920.0,-0.1407089151450054,-0.1254564983888292
2025-07-18,CY,23275.0,CY508,20165.0,CY509,20525.0,,,-3110.0,-2750.0,-0.1336197636949516,-0.1181525241675617
2025-07-21,CY,23275.0,CY508,20165.0,CY509,20450.0,,,-3110.0,-2825.0,-0.1336197636949516,-0.1213748657357679
2025-07-22,CY,23450.0,CY508,20165.0,CY509,20390.0,,,-3285.0,-3060.0,-0.1400852878464819,-0.1304904051172708
2025-07-23,CY,23450.0,CY508,20165.0,CY509,20420.0,,,-3285.0,-3030.0,-0.1400852878464819,-0.1292110874200426
2025-07-24,CY,23450.0,CY508,20165.0,CY509,20350.0,,,-3285.0,-3100.0,-0.1400852878464819,-0.1321961620469083
2025-07-25,CY,23450.0,CY508,20165.0,CY509,20420.0,,,-3285.0,-3030.0,-0.1400852878464819,-0.1292110874200426
2025-07-28,CY,23450.0,CY508,20165.0,CY509,20385.0,,,-3285.0,-3065.0,-0.1400852878464819,-0.1307036247334755
2025-07-29,CY,23600.0,CY508,20165.0,CY509,20140.0,,,-3435.0,-3460.0,-0.1455508474576271,-0.1466101694915254
2025-07-30,CY,23600.0,CY508,20165.0,CY509,19920.0,,,-3435.0,-3680.0,-0.1455508474576271,-0.1559322033898305
2025-07-31,CY,23600.0,CY508,20070.0,CY509,19825.0,,,-3530.0,-3775.0,-0.1495762711864406,-0.159957627118644
2025-08-01,CY,23600.0,CY508,20005.0,CY509,19760.0,,,-3595.0,-3840.0,-0.1523305084745763,-0.1627118644067796
2025-08-04,CY,23600.0,CY508,20005.0,CY511,19765.0,,,-3595.0,-3835.0,-0.1523305084745763,-0.1624999999999999
2025-08-05,CY,23600.0,CY508,19995.0,CY511,19755.0,,,-3605.0,-3845.0,-0.1527542372881356,-0.1629237288135593
2025-08-06,CY,23600.0,CY508,19965.0,CY511,19725.0,,,-3635.0,-3875.0,-0.1540254237288135,-0.1641949152542372
2025-08-07,CY,23600.0,CY508,19965.0,CY511,19725.0,,,-3635.0,-3875.0,-0.1540254237288135,-0.1641949152542372
2025-08-08,CY,23600.0,CY508,19925.0,CY511,19685.0,,,-3675.0,-3915.0,-0.1557203389830508,-0.1658898305084746
2025-08-11,CY,23600.0,CY508,19955.0,CY511,19715.0,,,-3645.0,-3885.0,-0.1544491525423729,-0.1646186440677965
2025-08-12,CY,23600.0,CY508,20160.0,CY511,19920.0,,,-3440.0,-3680.0,-0.1457627118644068,-0.1559322033898305
2025-08-13,CY,23600.0,CY508,20380.0,CY511,20135.0,,,-3220.0,-3465.0,-0.1364406779661017,-0.146822033898305
2025-08-14,CY,23600.0,CY508,20435.0,CY511,20190.0,,,-3165.0,-3410.0,-0.1341101694915254,-0.1444915254237287
2025-08-15,CY,23600.0,CY509,20095.0,CY511,20200.0,,,-3505.0,-3400.0,-0.1485169491525423,-0.1440677966101694
2025-08-18,CY,23600.0,CY509,20095.0,CY511,20165.0,,,-3505.0,-3435.0,-0.1485169491525423,-0.1455508474576271
2025-08-19,CY,23550.0,CY509,20100.0,CY511,20155.0,,,-3450.0,-3395.0,-0.1464968152866241,-0.1441613588110403
2025-08-20,CY,23550.0,CY509,20025.0,CY511,20050.0,,,-3525.0,-3500.0,-0.1496815286624203,-0.1486199575371549
2025-08-21,CY,23550.0,CY509,20035.0,CY511,20075.0,,,-3515.0,-3475.0,-0.1492569002123142,-0.1475583864118895
2025-08-22,CY,23550.0,CY509,20045.0,CY511,20075.0,2509.0,2511.0,-3505.0,-3475.0,-0.148832271762208,-0.1475583864118895
2025-08-25,CY,23550.0,CY509,20105.0,CY511,20160.0,,,-3445.0,-3390.0,-0.1462845010615711,-0.1439490445859872
2025-08-26,CY,23550.0,CY509,20125.0,CY511,20160.0,,,-3425.0,-3390.0,-0.1454352441613587,-0.1439490445859872
2025-08-27,CY,23550.0,CY509,20295.0,CY511,20120.0,19509.0,19511.0,-3255.0,-3430.0,-0.1382165605095541,-0.1456475583864118
2025-08-28,CY,23550.0,CY509,20225.0,CY511,20090.0,19509.0,19511.0,-3325.0,-3460.0,-0.1411889596602972,-0.1469214437367303
2025-08-29,CY,23550.0,CY509,20335.0,CY511,20180.0,19509.0,19511.0,-3215.0,-3370.0,-0.1365180467091294,-0.1430997876857749
2025-09-01,CY,23550.0,CY509,20200.0,CY511,19955.0,19509.0,19511.0,-3350.0,-3595.0,-0.1422505307855626,-0.1526539278131634
2025-09-02,CY,23550.0,CY509,20240.0,CY511,20060.0,19509.0,19511.0,-3310.0,-3490.0,-0.1405520169851379,-0.1481953290870488
2025-09-03,CY,23550.0,CY509,19625.0,CY511,19995.0,19509.0,19511.0,-3925.0,-3555.0,-0.1666666666666666,-0.1509554140127388
2025-09-04,CY,23550.0,CY509,20100.0,CY511,19990.0,19509.0,19511.0,-3450.0,-3560.0,-0.1464968152866241,-0.1511677282377919
2025-09-05,CY,23550.0,CY509,20200.0,CY511,19975.0,19509.0,19511.0,-3350.0,-3575.0,-0.1422505307855626,-0.1518046709129511
2025-09-08,CY,23550.0,CY509,20200.0,CY511,19955.0,19509.0,19511.0,-3350.0,-3595.0,-0.1422505307855626,-0.1526539278131634
2025-09-09,CY,23550.0,CY509,20200.0,CY511,19920.0,19509.0,19511.0,-3350.0,-3630.0,-0.1422505307855626,-0.154140127388535
2025-09-10,CY,23550.0,CY509,20200.0,CY511,19895.0,19509.0,19511.0,-3350.0,-3655.0,-0.1422505307855626,-0.1552016985138004
2025-09-11,CY,23550.0,CY509,20180.0,CY511,19875.0,19509.0,19511.0,-3370.0,-3675.0,-0.1430997876857749,-0.1560509554140127
2025-09-12,CY,23550.0,CY509,20160.0,CY511,19855.0,19509.0,19511.0,-3390.0,-3695.0,-0.1439490445859872,-0.156900212314225
2025-09-15,CY,23550.0,CY510,19705.0,CY511,19890.0,19510.0,19511.0,-3845.0,-3660.0,-0.1632696390658173,-0.1554140127388534
2025-09-16,CY,23550.0,CY510,19705.0,CY511,19965.0,19510.0,19511.0,-3845.0,-3585.0,-0.1632696390658173,-0.1522292993630573
2025-09-17,CY,23550.0,CY510,19705.0,CY511,19975.0,19510.0,19511.0,-3845.0,-3575.0,-0.1632696390658173,-0.1518046709129511
2025-09-18,CY,23550.0,CY510,19705.0,CY511,19880.0,19510.0,19511.0,-3845.0,-3670.0,-0.1632696390658173,-0.1558386411889596
2025-09-19,CY,23550.0,CY510,19600.0,CY511,19775.0,19510.0,19511.0,-3950.0,-3775.0,-0.167728237791932,-0.1602972399150742
2025-11-17,CY,23200.0,CY512,19835.0,CY601,19740.0,2512.0,2601.0,-3365.0,-3460.0,-0.1450431034482758,-0.1491379310344828
2025-11-18,CY,23200.0,CY512,19805.0,CY601,19680.0,2512.0,2601.0,-3395.0,-3520.0,-0.1463362068965517,-0.1517241379310344
2025-11-19,CY,23200.0,CY512,19805.0,CY601,19795.0,2512.0,2601.0,-3395.0,-3405.0,-0.1463362068965517,-0.1467672413793103
2025-11-20,CY,23200.0,CY512,19805.0,CY601,19745.0,2512.0,2601.0,-3395.0,-3455.0,-0.1463362068965517,-0.1489224137931034
2025-11-21,CY,23175.0,CY512,19805.0,CY601,19725.0,2512.0,2601.0,-3370.0,-3450.0,-0.1454153182308522,-0.1488673139158576
2025-11-24,CY,23175.0,CY512,19805.0,CY601,20075.0,2512.0,2601.0,-3370.0,-3100.0,-0.1454153182308522,-0.133764832793959
2025-11-25,CY,23200.0,CY512,19805.0,CY601,20065.0,2512.0,2601.0,-3395.0,-3135.0,-0.1463362068965517,-0.1351293103448275
2025-11-26,CY,23200.0,CY512,19805.0,CY601,20070.0,2512.0,2601.0,-3395.0,-3130.0,-0.1463362068965517,-0.1349137931034483
2025-11-27,CY,23200.0,CY512,19865.0,CY601,20050.0,2512.0,2601.0,-3335.0,-3150.0,-0.14375,-0.1357758620689655
2025-11-28,CY,23200.0,CY512,19070.0,CY601,20090.0,2512.0,2601.0,-4130.0,-3110.0,-0.1780172413793103,-0.1340517241379309
2025-12-01,CY,23200.0,CY512,19035.0,CY601,20045.0,2512.0,2601.0,-4165.0,-3155.0,-0.1795258620689654,-0.1359913793103447
2025-12-02,CY,23200.0,CY512,18955.0,CY601,20005.0,2512.0,2601.0,-4245.0,-3195.0,-0.1829741379310344,-0.1377155172413793
2025-12-03,CY,23200.0,CY512,18935.0,CY603,19990.0,2512.0,2603.0,-4265.0,-3210.0,-0.1838362068965517,-0.1383620689655172
2025-12-04,CY,23200.0,CY512,19045.0,CY603,20095.0,2512.0,2603.0,-4155.0,-3105.0,-0.1790948275862068,-0.1338362068965517
2025-12-05,CY,23200.0,CY512,19005.0,CY603,20005.0,2512.0,2603.0,-4195.0,-3195.0,-0.1808189655172414,-0.1377155172413793
2025-12-08,CY,23200.0,CY512,18960.0,CY603,19980.0,2512.0,2603.0,-4240.0,-3220.0,-0.1827586206896552,-0.1387931034482759
2025-12-09,CY,23200.0,CY512,18975.0,CY603,19945.0,2512.0,2603.0,-4225.0,-3255.0,-0.1821120689655172,-0.140301724137931
2025-12-10,CY,23200.0,CY512,18965.0,CY603,19965.0,2512.0,2603.0,-4235.0,-3235.0,-0.1825431034482758,-0.1394396551724137
2025-12-11,CY,23200.0,CY512,19000.0,CY603,20005.0,2512.0,2603.0,-4200.0,-3195.0,-0.1810344827586206,-0.1377155172413793
2025-12-12,CY,23200.0,CY512,19015.0,CY603,19980.0,2512.0,2603.0,-4185.0,-3220.0,-0.1803879310344828,-0.1387931034482759
2025-12-15,CY,23200.0,CY601,19895.0,CY603,20010.0,2601.0,2603.0,-3305.0,-3190.0,-0.1424568965517241,-0.1374999999999999
2025-12-16,CY,23225.0,CY601,19855.0,CY603,20055.0,2601.0,2603.0,-3370.0,-3170.0,-0.145102260495156,-0.1364908503767492
2025-12-17,CY,23225.0,CY601,19935.0,CY603,20085.0,2601.0,2603.0,-3290.0,-3140.0,-0.1416576964477933,-0.1351991388589881
2025-12-18,CY,23225.0,CY601,19905.0,CY603,20045.0,2601.0,2603.0,-3320.0,-3180.0,-0.1429494079655543,-0.1369214208826695
2025-12-19,CY,23225.0,CY601,19930.0,CY603,20050.0,2601.0,2603.0,-3295.0,-3175.0,-0.1418729817007534,-0.1367061356297093
2025-12-22,CY,23225.0,CY601,20040.0,CY603,20110.0,2601.0,2603.0,-3185.0,-3115.0,-0.1371367061356296,-0.1341227125941873
2025-12-23,CY,23225.0,CY601,20075.0,CY603,20185.0,2601.0,2603.0,-3150.0,-3040.0,-0.1356297093649084,-0.1308934337997847
2025-12-24,CY,23225.0,CY601,20125.0,CY603,20260.0,2601.0,2603.0,-3100.0,-2965.0,-0.1334768568353067,-0.127664155005382
2025-12-25,CY,23225.0,CY601,20190.0,CY603,20410.0,2601.0,2603.0,-3035.0,-2815.0,-0.1306781485468245,-0.121205597416577
2025-12-26,CY,23225.0,CY601,20450.0,CY603,20585.0,2601.0,2603.0,-2775.0,-2640.0,-0.1194833153928955,-0.1136706135629709
2025-12-29,CY,23225.0,CY601,20100.0,CY603,20490.0,2601.0,2603.0,-3125.0,-2735.0,-0.1345532831001076,-0.1177610333692141
2025-12-30,CY,23350.0,CY601,20125.0,CY603,20605.0,2601.0,2603.0,-3225.0,-2745.0,-0.1381156316916488,-0.1175588865096359
2025-12-31,CY,23350.0,CY601,20475.0,CY603,20585.0,2601.0,2603.0,-2875.0,-2765.0,-0.1231263383297645,-0.1184154175588865
2026-01-05,CY,23525.0,CY601,20180.0,CY603,20575.0,2601.0,2603.0,-3345.0,-2950.0,-0.1421891604675876,-0.1253985122210414
2026-01-06,CY,23525.0,CY601,20250.0,CY603,20875.0,2601.0,2603.0,-3275.0,-2650.0,-0.1392136025504782,-0.1126461211477152
2026-01-07,CY,23600.0,CY601,20225.0,CY603,21050.0,2601.0,2603.0,-3375.0,-2550.0,-0.1430084745762712,-0.1080508474576271
2026-01-08,CY,23600.0,CY601,20225.0,CY603,20795.0,2601.0,2603.0,-3375.0,-2805.0,-0.1430084745762712,-0.1188559322033898
2026-01-09,CY,23625.0,CY601,20225.0,CY603,20690.0,2601.0,2603.0,-3400.0,-2935.0,-0.1439153439153438,-0.1242328042328042
2026-01-12,CY,23625.0,CY601,20225.0,CY603,20640.0,2601.0,2603.0,-3400.0,-2985.0,-0.1439153439153438,-0.1263492063492063
2026-01-13,CY,23625.0,CY601,20225.0,CY603,20765.0,2601.0,2603.0,-3400.0,-2860.0,-0.1439153439153438,-0.121058201058201
2026-01-14,CY,23625.0,CY601,19830.0,CY603,20835.0,2601.0,2603.0,-3795.0,-2790.0,-0.1606349206349206,-0.1180952380952381
2026-01-15,CY,23625.0,CY601,19950.0,CY603,20665.0,2601.0,2603.0,-3675.0,-2960.0,-0.1555555555555555,-0.1252910052910053
2026-01-16,CY,23625.0,CY601,20250.0,CY603,20535.0,2601.0,2603.0,-3375.0,-3090.0,-0.1428571428571429,-0.1307936507936508
2026-01-19,CY,23625.0,CY602,20655.0,CY603,20510.0,2602.0,2603.0,-2970.0,-3115.0,-0.1257142857142856,-0.1318518518518519
2026-01-20,CY,23625.0,CY602,20655.0,CY603,20500.0,2602.0,2603.0,-2970.0,-3125.0,-0.1257142857142856,-0.1322751322751323
