date,value,change,增减
2025-08-27,13242,-25.0,
2025-08-28,13227,-15.0,
2025-08-29,13207,-20.0,
2025-09-01,13187,-20.0,
2025-09-02,13128,-59.0,
2025-09-03,13118,-10.0,
2025-09-04,13088,-30.0,
2025-09-05,13008,-80.0,
2025-09-08,13008,0.0,
2025-09-09,13008,0.0,
2025-09-10,13003,-5.0,
2025-09-11,13003,0.0,
2025-09-12,13002,-1.0,
2025-09-15,13002,0.0,
2025-09-16,13002,0.0,
2025-09-17,13002,0.0,
2025-09-18,12974,-28.0,
2025-09-19,12974,0.0,
2025-09-22,12974,0.0,
2025-09-23,12496,-478.0,
2025-09-24,14527,2031.0,
2025-09-25,14527,0.0,
2025-09-26,14327,-200.0,
2025-09-29,12916,-1411.0,
2025-09-30,0,-12916.0,
2025-10-17,2300,2300.0,
2025-10-20,2300,0.0,
2025-10-21,2300,0.0,
2025-10-22,2300,0.0,
2025-10-23,2416,116.0,
2025-10-24,2416,0.0,
2025-10-27,2416,0.0,
2025-10-28,2416,0.0,
2025-10-29,3096,680.0,
2025-10-30,3811,715.0,
2025-10-31,4194,383.0,
2025-11-03,4194,0.0,
2025-11-04,4194,0.0,
2025-11-05,4194,0.0,
2025-11-06,4194,0.0,
2025-11-07,4444,250.0,250.0
2025-11-10,4444,0.0,0.0
2025-11-11,4444,0.0,0.0
2025-11-12,4615,171.0,171.0
2025-11-13,4615,0.0,0.0
2025-11-14,4615,0.0,0.0
2026-03-18,1800,-2815.0,
2026-03-19,1800,0.0,0.0
2026-03-20,3100,1300.0,1300.0
2026-03-23,3100,0.0,0.0
2026-03-24,3100,0.0,0.0
2026-03-25,3100,0.0,0.0
2026-03-26,1300,-1800.0,-1800.0
2026-03-27,1300,0.0,0.0
2026-03-30,1300,0.0,0.0
2026-03-31,0,-1300.0,-1300.0
2026-04-20,497,497.0,497.0
2026-04-21,497,0.0,0.0
2026-04-22,497,0.0,0.0
2026-04-23,497,0.0,0.0
2026-04-24,497,0.0,0.0
2026-04-27,729,232.0,232.0
2026-04-28,729,0.0,0.0
2026-04-29,729,0.0,0.0
2026-04-30,729,0.0,0.0
2026-05-06,729,0.0,0.0
2026-05-07,1005,276.0,276.0
2026-05-08,1169,164.0,164.0
2026-05-11,1119,-50.0,-50.0
2026-05-12,1119,0.0,0.0
2026-05-13,1119,0.0,0.0
2026-05-14,1109,-10.0,-10.0
2026-05-15,1094,-15.0,-15.0
2026-05-18,1189,95.0,95.0
2026-05-19,1164,-25.0,-25.0
2026-05-20,1164,0.0,0.0
2026-05-21,1164,0.0,0.0
2026-05-22,1164,0.0,0.0
2026-05-25,1164,0.0,0.0
2026-05-26,1154,-10.0,-10.0
2026-05-27,1769,615.0,615.0
2026-05-28,2019,250.0,250.0
2026-05-29,2019,0.0,0.0
2026-06-01,2019,0.0,0.0
2026-06-02,2019,0.0,0.0
2026-06-03,1859,-160.0,-160.0
2026-06-04,1859,0.0,0.0
2026-06-05,1859,0.0,0.0
2026-06-08,1879,20.0,20.0
2026-06-09,1804,-75.0,-75.0
2026-06-10,2599,795.0,795.0
2026-06-11,2599,0.0,0.0
2026-06-12,2589,-10.0,-10.0
2026-06-15,2589,0.0,0.0
2026-06-16,2589,0.0,0.0
2026-06-17,2589,0.0,0.0
2026-06-18,2579,-10.0,-10.0
2026-06-22,2807,228.0,228.0
2026-06-23,1993,-814.0,-814.0
2026-06-24,1993,0.0,0.0
2026-06-25,1993,0.0,0.0
2026-06-26,1704,-289.0,-289.0
