date,receipt,change
2025-06-03,46060,-528.0
2025-06-04,45309,-751.0
2025-06-05,44552,-757.0
2025-06-06,43652,-900.0
2025-06-09,43652,0.0
2025-06-10,43652,0.0
2025-06-11,43384,-268.0
2025-06-12,43234,-150.0
2025-06-13,42604,-630.0
2025-06-16,42354,-250.0
2025-06-17,42354,0.0
2025-06-18,42067,-287.0
2025-06-19,41847,-220.0
2025-06-20,40827,-1020.0
2025-06-23,40392,-435.0
2025-06-24,37758,-2634.0
2025-06-25,37488,-270.0
2025-06-26,36878,-610.0
2025-06-27,36258,-620.0
2025-06-30,35974,-284.0
2025-07-01,35974,0.0
2025-07-02,35626,-348.0
2025-07-03,35516,-110.0
2025-07-04,35420,-96.0
2025-07-07,35400,-20.0
2025-07-08,34796,-604.0
2025-07-09,34676,-120.0
2025-07-10,34623,-53.0
2025-07-11,34343,-280.0
2025-07-14,34181,-162.0
2025-07-15,33953,-228.0
2025-07-16,33435,-518.0
2025-07-17,32597,-838.0
2025-07-18,32007,-590.0
2025-07-21,29650,-80.0
2025-07-22,29514,-136.0
2025-07-23,29253,-261.0
2025-07-24,28964,-289.0
2025-07-25,28646,-318.0
2025-07-28,20150,
2025-07-29,19746,
2025-07-30,19520,-226.0
2025-07-31,19473,-47.0
2025-08-01,19443,-30.0
2025-08-04,19373,
2025-08-05,19260,-113.0
2025-08-06,18802,
2025-08-07,18615,-187.0
2025-08-08,18545,-70.0
2025-08-11,18240,-305.0
2025-08-12,17853,-387.0
2025-08-13,17529,-324.0
2025-08-14,17284,-245.0
2025-08-15,17104,-180.0
2025-08-18,16931,-173.0
2025-08-19,16486,-445.0
2025-08-20,16244,-242.0
2025-08-21,15751,-493.0
2025-08-22,15555,-196.0
2025-08-25,15385,-170.0
2025-08-26,15315,-70.0
2025-08-27,14906,-409.0
2025-08-28,14539,-367.0
2025-08-29,13916,-623.0
2025-09-01,13434,-482.0
2025-09-02,13202,-232.0
2025-09-03,12782,-420.0
2025-09-04,12752,-30.0
2025-09-05,12476,-276.0
2025-09-08,12102,-374.0
2025-09-09,11977,-125.0
2025-09-10,11772,-205.0
2025-09-11,11739,-33.0
2025-09-12,11599,-140.0
2025-09-15,11325,-274.0
2025-09-16,11268,-57.0
2025-09-17,10988,-280.0
2025-09-18,10629,-359.0
2025-09-19,10364,-265.0
2025-09-22,10315,-49.0
2025-09-23,10022,-293.0
2025-09-24,9854,-168.0
2025-09-25,9793,-61.0
2025-09-26,9464,-329.0
2025-09-29,8981,-483.0
2025-09-30,8968,-13.0
2025-10-09,8898,-70.0
2025-10-10,8867,-31.0
2025-10-13,8681,-186.0
2025-10-14,8488,-193.0
2025-10-15,8438,-50.0
2025-10-16,8438,0.0
2025-10-17,8418,-20.0
2025-10-20,8407,-11.0
2025-10-21,8376,-31.0
2025-10-22,8313,-63.0
2025-10-23,8196,-117.0
2025-10-24,8185,-11.0
2025-10-27,7795,-390.0
2025-10-28,7695,-100.0
2025-10-29,7625,-70.0
2025-10-30,7541,-84.0
2025-10-31,7530,-11.0
2025-11-03,7462,-68.0
2025-11-04,7432,-30.0
2025-11-05,7422,-10.0
2025-11-06,7422,0.0
2025-11-07,7382,-40.0
2025-11-10,7663,281.0
2025-11-11,7721,58.0
2025-11-12,7721,0.0
2025-11-13,7721,0.0
2025-11-14,8622,901.0
2026-03-18,16342,
2026-03-19,16342,0.0
2026-03-20,16342,0.0
2026-03-23,16342,0.0
2026-03-24,16342,0.0
2026-03-25,16342,0.0
2026-03-26,16342,0.0
2026-03-27,16342,0.0
2026-03-30,16862,520.0
2026-03-31,16862,0.0
2026-04-01,16862,0.0
2026-04-02,16862,0.0
2026-04-03,16862,0.0
2026-04-07,16842,-20.0
2026-04-08,16842,0.0
2026-04-09,16842,0.0
2026-04-10,16782,-60.0
2026-04-13,16721,-61.0
2026-04-14,16721,0.0
2026-04-15,16721,0.0
2026-04-16,16721,0.0
2026-04-17,17766,1045.0
2026-04-20,17766,0.0
2026-04-21,17766,0.0
2026-04-22,17766,0.0
2026-04-23,17766,0.0
2026-04-24,18066,300.0
2026-04-27,18066,0.0
2026-04-28,19883,1817.0
2026-04-29,19883,0.0
2026-04-30,20453,570.0
2026-05-06,20453,0.0
2026-05-07,20453,0.0
2026-05-08,20453,0.0
2026-05-11,21183,730.0
2026-05-12,21183,0.0
2026-05-13,22083,900.0
2026-05-14,22083,0.0
2026-05-15,22533,450.0
2026-05-18,22935,402.0
2026-05-19,23293,358.0
2026-05-20,23293,0.0
2026-05-21,23293,0.0
2026-05-22,23285,-8.0
2026-05-25,23240,-45.0
2026-05-26,23040,-200.0
2026-05-27,23040,0.0
2026-05-28,23040,0.0
2026-05-29,22720,-320.0
2026-06-01,22620,-100.0
2026-06-02,22620,0.0
2026-06-03,22620,0.0
2026-06-04,22620,0.0
2026-06-05,22557,-63.0
2026-06-08,22557,0.0
2026-06-09,22557,0.0
2026-06-10,22500,-57.0
2026-06-11,22500,0.0
2026-06-12,23134,634.0
2026-06-15,23064,-70.0
2026-06-16,23064,0.0
2026-06-17,23034,-30.0
2026-06-18,23034,0.0
2026-06-22,23034,0.0
2026-06-23,22996,-38.0
2026-06-24,22966,-30.0
2026-06-25,22908,-58.0
2026-06-26,22858,-50.0
