时间,MA5,MA10,MA20,MA60,EMA20,ATR14,RSI14,MACD,MACD_SIGNAL,MACD_HIST,BOLL_UP,BOLL_LOW,BOLL_MID,BOLL_WIDTH,KDJ_K,KDJ_D,KDJ_J,WILLIAMS_R14,CCI20,STOCH_RSI,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2012-12-31,5269.0,5269.0,5269.0,5269.0,5269.0,165.0,0.0,0.0,0.0,0.0,5269.0,5269.0,5269.0,0.0,69.0909090909091,69.0909090909091,69.0909090909091,-30.90909090909091,0.0,0.0,62043.0,0,0.0,0.0,0.0
2013-01-01,5271.0,5271.0,5271.0,5271.0,5269.380952380952,159.0,99.999999995,0.3190883190891327,0.0638176638178265,0.2552706552713061,5276.656854249492,5265.343145750508,5271.0,11.313708498984852,63.08802308802309,67.08994708994709,55.08417508417512,-48.91774891774892,35.3553390593277,100.0,67281.0,72519,0.0,0.0,0.0
2013-01-07,5296.0,5296.0,5296.0,5296.0,5276.678004535147,139.66666666666666,99.9999999996104,6.388811779124808,1.3288164868792227,5.059995292245585,5382.694867206773,5209.305132793227,5296.0,173.38973441354574,69.62000962000963,67.9333012666346,72.99342632675967,-17.316017316017316,42.72197694265968,100.0,58828.66666666666,114443,0.0,0.0,0.0
2013-01-08,5332.0,5332.0,5332.0,5332.0,5292.232480293704,154.0,99.99999999976608,18.57006164919221,4.7770655193418206,13.79299612985039,5492.457678740117,5171.542321259883,5332.0,320.9153574802349,71.74667308000642,69.2044252044252,76.83116883116884,-24.0,69.38991553628665,100.0,69841.0,217321,0.0,0.0,0.0
2013-01-09,5348.2,5348.2,5348.2,5348.2,5303.73414883716,140.2,86.36363636363636,25.748305146832536,8.971313444839964,16.77699170199257,5504.912475572304,5191.487524427696,5348.2,313.4249511446087,70.76444872000428,69.72443304295156,72.84448007410973,-31.2,47.04758357162854,86.36363636383838,65546.6,168952,0.0,0.0,0.0
2013-01-10,5382.4,5363.5,5363.5,5363.5,5316.711848947907,130.83333333333334,88.0,33.23270327009232,13.823591409890437,19.40911186020188,5522.450306699924,5204.549693300076,5363.5,317.9006133998482,72.50963248000286,70.652832855302,76.2232317294046,-24.0,53.82715459545461,88.00000000020586,62987.16666666666,219142,0.0,0.0,0.0
2013-01-11,5417.2,5375.428571428572,5375.428571428572,5375.428571428572,5329.120244286201,119.71428571428572,88.36206896551724,39.27623224677518,18.914119577267385,20.362112669507795,5533.664080055669,5217.193062801474,5375.428571428572,316.4710172541945,74.29531054222413,71.86699208427603,79.15194745812033,-22.133333333333333,44.883815762058894,88.36206896572395,57865.142857142855,246275,0.0,0.0,0.0
2013-01-14,5434.4,5382.5,5382.5,5382.5,5338.918316258943,116.5,82.99595141700405,42.36701725988223,23.604699113790357,18.76231814609188,5534.360838551992,5230.639161448008,5382.5,303.7216771039839,74.15242925037164,72.62880447297456,77.19967880516577,-26.133333333333333,44.47988849775636,82.9959514171982,56377.75,200309,0.0,0.0,0.0
2013-01-15,5439.4,5391.666666666667,5391.666666666667,5391.666666666667,5350.926095662854,112.55555555555556,85.0,46.93823609055107,28.2714065091425,18.66682958140857,5543.995258861304,5239.33807447203,5391.666666666667,304.65718438927433,76.99050838913665,74.08270577836193,82.80611361068608,-17.333333333333332,36.287451748719874,85.00000000019884,54382.88888888889,238733,0.0,0.0,0.0
2013-01-16,5443.2,5395.7,5395.7,5395.7,5358.647419885439,113.7,76.03833865814697,47.352288039473024,32.087582815208606,15.264705224264418,5541.564625214233,5249.835374785766,5395.7,291.7292504284669,72.18654437682486,73.45065197784957,69.65832917477542,-30.05050505050505,43.44813330092018,76.03833865832485,56074.2,167437,0.0,0.0,0.0
2013-01-17,5444.0,5413.2,5400.090909090909,5400.090909090909,5366.776237039207,108.27272727272728,76.92307692307692,48.09432545769505,35.2889313437059,12.805394113989152,5541.502236912847,5258.679581268972,5400.090909090909,282.8226556438749,69.36730077099058,72.08953490889658,63.92283249517857,-27.02020202020202,23.44298871096864,76.92307692325687,53829.72727272727,198822,0.0,0.0,0.0
2013-01-18,5438.0,5427.6,5401.5,5401.5,5371.559452559282,103.83333333333331,71.02272727272727,45.97376417045871,37.42589790905646,8.547866261402248,5536.683377138409,5266.316622861591,5401.5,270.366754276818,59.088903877908095,67.75599123190042,41.75472916992345,-33.83838383838384,16.627571955303026,71.0227272728934,51083.583333333336,177946,0.0,0.0,0.0
2013-01-21,5438.4,5436.4,5404.0,5404.0,5377.50617136316,100.53846153846152,72.35772357723577,45.14456357025483,38.96963104129613,6.174932528958699,5534.677720620872,5273.322279379128,5404.0,261.3554412417434,49.91891837474574,61.81030027951553,26.13615456520617,-29.545454545454547,24.457303114373698,72.35772357740504,49639.230769230766,210253,0.0,0.0,0.0
2013-01-22,5431.4,5435.4,5405.857142857143,5405.857142857143,5382.505583614287,96.85714285714286,71.58176943699732,43.66134870034784,39.90797457310647,3.753374127241372,5532.175074205862,5279.539211508424,5405.857142857143,252.63586269743791,39.174970526474496,54.26519036183519,8.994530855753112,-30.55555555555556,18.799098090860745,71.58176943716477,47577.142857142855,189483,0.0,0.0,0.0
2013-01-23,5430.6,5436.9,5407.333333333333,5407.333333333333,5386.838385174831,87.78571428571429,71.2,41.84217638118571,40.29481493472232,1.5473614464633911,5529.592231149558,5285.074435517108,5407.333333333333,244.51779563244963,31.558823888397963,46.69640153735612,1.2836685904816534,-38.67924528301887,10.022388656502768,0.6117647058873235,45152.6,178274,0.0,0.0,0.0
2013-01-24,5435.8,5439.9,5411.25,5411.25,5394.758538967704,83.5,73.8498789346247,43.29049235470666,40.89395041871919,2.396541935987472,5533.448745219962,5289.051254780038,5411.25,244.39749043992376,36.005202320156464,43.13266846495623,21.750270030556933,-27.45762711864407,38.2282809907678,9.756444950940484,48012.3125,269182,0.0,0.0,0.0
2013-01-25,5422.6,5430.3,5407.705882352941,5407.705882352941,5390.591059066018,87.78571428571429,50.54466230936819,34.438996409691754,39.6029596169137,-5.163963207221947,5529.58033559455,5285.831429111333,5407.705882352941,243.74890648321707,28.7244982563561,38.32994506208952,9.513604644889256,-85.83690987124463,-23.9078415059323,0.0,49680.05882352941,192818,0.0,0.0,0.0
2013-01-28,5411.8,5425.1,5406.166666666667,5406.166666666667,5389.582386774016,76.57142857142857,42.38578680203045,29.424986807076493,37.567365054946265,-8.142378247869772,5525.121428211204,5287.21190512213,5406.166666666667,237.9095230890744,28.01947952426601,34.89312321614835,14.272192140501318,-73.39055793991416,-30.977478821950484,0.0,48775.66666666666,226219,0.0,0.0,0.0
