date,symbol,close,volume,open_interest,roll_yield
20250526,SC2506,456.3,1835.0,2614.0,0.0890833785459055
20250526,SC2507,459.7,156979.0,31330.0,-0.0549439529591295
20250526,SC2508,457.6,17867.0,10300.0,-0.0683762533756533
20250526,SC2509,455.0,4825.0,3993.0,-0.0316901592625081
20250526,SC2510,453.8,437.0,935.0,-0.0291230148459422
20250526,SC2511,452.7,127.0,445.0,-0.0345094807017319
20250526,SC2512,451.4,148.0,823.0,-0.0212860366234945
20250526,SC2601,450.6,59.0,294.0,-0.0266607530239529
20250526,SC2602,449.6,27.0,60.0,-0.058862994281426
20250526,SC2603,447.4,0.0,27.0,-0.0080491897931305
20250526,SC2604,447.1,0.0,25.0,-0.0511039660625434
20250526,SC2605,445.2,0.0,5.0,-0.0134846626168679
20250526,SC2606,444.7,5.0,151.0,-0.0252651415198262
20250526,SC2609,441.9,0.0,33.0,0.011750093185519
20250526,SC2612,443.2,1.0,27.0,-0.0271678653628509
20250526,SC2703,440.2,0.0,19.0,-0.0036363638868018
20250526,SC2706,439.8,0.0,18.0,0.0226732270144809
20250526,SC2709,442.3,0.0,32.0,-0.0390778979913399
20250526,SC2712,438.0,2.0,45.0,-0.0091428611234238
20250526,SC2803,437.0,2.0,42.0,0.0
20250527,SC2506,460.2,333.0,2393.0,-0.0496462330342455
20250527,SC2507,458.3,111919.0,29488.0,-0.0551121799774896
20250527,SC2508,456.2,13818.0,10981.0,-0.0818214981263412
20250527,SC2509,453.1,3551.0,4289.0,-0.0238595019506771
20250527,SC2510,452.2,224.0,966.0,-0.0239070361309673
20250527,SC2511,451.3,54.0,456.0,-0.0266193543051543
20250527,SC2512,450.3,81.0,818.0,-0.06144953871049
20250527,SC2601,448.0,36.0,308.0,-0.0644585256229305
20250527,SC2602,445.6,13.0,60.0,0.0242125404417517
20250527,SC2603,446.5,1.0,27.0,-0.0080654198174592
20250527,SC2604,446.2,1.0,25.0,-0.0269239511645085
20250527,SC2605,445.2,0.0,5.0,-0.0459098118210661
20250527,SC2606,443.5,9.0,155.0,-0.0144567584517599
20250527,SC2609,441.9,0.0,33.0,0.011750093185519
20250527,SC2612,443.2,0.0,27.0,-0.0271678653628509
20250527,SC2703,440.2,0.0,19.0,-0.0036363638868018
20250527,SC2706,439.8,0.0,18.0,0.0199592158281495
20250527,SC2709,442.0,3.0,33.0,-0.0455067479284317
20250527,SC2712,437.0,0.0,45.0,-0.0009154365527998
20250527,SC2803,436.9,3.0,43.0,0.0
20250528,SC2506,452.4,531.0,1882.0,0.0159045748928245
20250528,SC2507,453.0,136370.0,28965.0,-0.047777103590219
20250528,SC2508,451.2,17231.0,12422.0,-0.0747001078301318
20250528,SC2509,448.4,3724.0,4515.0,-0.0241098417971367
20250528,SC2510,447.5,212.0,992.0,-0.0295335197737069
20250528,SC2511,446.4,45.0,450.0,-0.0215246694483211
20250528,SC2512,445.6,97.0,843.0,-0.02965960390938
20250528,SC2601,444.5,29.0,311.0,-0.0622534383673599
20250528,SC2602,442.2,23.0,62.0,0.0216900194614765
20250528,SC2603,443.0,1.0,27.0,0.0863701434395577
20250528,SC2604,446.2,0.0,25.0,-0.0269239511645085
20250528,SC2605,445.2,0.0,5.0,-0.1409867098689948
20250528,SC2606,440.0,15.0,160.0,0.0018177687202179
20250528,SC2609,440.2,1.0,33.0,-0.007276036567406
20250528,SC2612,439.4,2.0,25.0,0.0072760365674058
20250528,SC2703,440.2,0.0,19.0,-0.0310149786466636
20250528,SC2706,436.8,6.0,22.0,-0.00091585575672
20250528,SC2709,436.7,2.0,34.0,0.0027469384163
20250528,SC2712,437.0,1.0,45.0,-0.0064124598641047
20250528,SC2803,436.3,2.0,43.0,0.0
20250529,SC2506,459.3,33.0,1857.0,0.2020773141157764
20250529,SC2507,467.1,180346.0,26374.0,-0.0980229010255159
20250529,SC2508,463.3,27164.0,12190.0,-0.0883886145206949
20250529,SC2509,459.9,7986.0,4799.0,-0.054920004328941
20250529,SC2510,457.8,717.0,956.0,-0.0499070435888485
20250529,SC2511,455.9,139.0,431.0,-0.0342669096114334
20250529,SC2512,454.6,175.0,806.0,-0.0396607169442036
20250529,SC2601,453.1,41.0,302.0,-0.0610688340896555
20250529,SC2602,450.8,15.0,67.0,-0.0213143928150693
20250529,SC2603,450.0,1.0,27.0,-0.1017636091912
20250529,SC2604,446.2,0.0,25.0,-0.0269239511645085
20250529,SC2605,445.2,0.0,5.0,0.115346814123422
20250529,SC2606,449.5,13.0,162.0,-0.071831335470641
20250529,SC2609,441.5,0.0,33.0,0.0
20250529,SC2612,441.5,1.0,25.0,0.0225861695528401
20250529,SC2703,444.0,5.0,20.0,-0.0271187479415152
20250529,SC2706,441.0,8.0,27.0,-0.0099897883686878
20250529,SC2709,439.9,0.0,34.0,0.0316994753101477
20250529,SC2712,443.4,4.0,47.0,-0.0009022217248126
20250529,SC2803,443.3,2.0,43.0,0.0
20250530,SC2506,444.1,12.0,1857.0,0.1022427709823722
20250530,SC2507,447.9,161097.0,27307.0,-0.0860411483592426
20250530,SC2508,444.7,29227.0,15390.0,-0.0540906933426646
20250530,SC2509,442.7,5871.0,5277.0,-0.0325718363289669
20250530,SC2510,441.5,698.0,1119.0,-0.010876955197447
20250530,SC2511,441.1,127.0,497.0,-0.013610072911815
20250530,SC2512,440.6,232.0,914.0,-0.0491244716060108
20250530,SC2601,438.8,38.0,322.0,-0.0328617275196442
20250530,SC2602,437.6,29.0,71.0,0.1985314404506956
20250530,SC2603,444.9,0.0,27.0,-0.0134937605582537
20250530,SC2604,444.4,0.0,25.0,0.0215827396309787
20250530,SC2605,445.2,0.0,5.0,-0.2946942093799687
20250530,SC2606,434.4,18.0,162.0,0.0357513552201519
20250530,SC2609,438.3,0.0,33.0,-0.0653263513199046
20250530,SC2612,431.2,0.0,25.0,0.0442808950169875
20250530,SC2703,436.0,0.0,20.0,-0.0137851945743503
20250530,SC2706,434.5,3.0,28.0,0.0046003455329492
20250530,SC2709,435.0,0.0,34.0,-0.0276817713782951
20250530,SC2712,432.0,3.0,46.0,0.0092485590335184
20250530,SC2803,433.0,0.0,43.0,0.0
20250603,SC2507,462.5,64117.0,22685.0,-0.1147086727174009
20250603,SC2508,458.1,18643.0,15485.0,-0.0604006089733508
20250603,SC2509,455.8,4358.0,5248.0,-0.0448401444921416
20250603,SC2510,454.1,695.0,1171.0,-0.0370534039439108
20250603,SC2511,452.7,59.0,492.0,-0.0265369413762525
20250603,SC2512,451.7,134.0,860.0,-0.0559193289729248
20250603,SC2601,449.6,36.0,308.0,-0.0320712885777185
20250603,SC2602,448.4,9.0,73.0,-0.0644008701352881
20250603,SC2603,446.0,0.0,27.0,-0.04312673105507
20250603,SC2604,444.4,0.0,25.0,0.0215827396309787
20250603,SC2605,445.2,0.0,5.0,-0.0080889790727244
20250603,SC2606,444.9,8.0,155.0,-0.05978372154893
20250603,SC2609,438.3,0.0,33.0,0.0063832226016316
20250603,SC2612,439.0,0.0,25.0,0.0389893147033463
20250603,SC2703,443.3,2.0,21.0,-0.0399005802272784
20250603,SC2706,438.9,3.0,29.0,-0.0201005448106921
20250603,SC2709,436.7,0.0,34.0,0.0201005448106919
20250603,SC2712,438.9,1.0,47.0,-0.0541354747667937
20250603,SC2803,433.0,0.0,43.0,0.0
20250603,SC2806,433.0,0.0,0.0,0.0
20250604,SC2507,468.2,109921.0,23118.0,-0.1081320339666615
20250604,SC2508,464.0,20952.0,15653.0,-0.0596306725597445
20250604,SC2509,461.7,4810.0,5263.0,-0.0520947204091306
20250604,SC2510,459.7,432.0,1101.0,-0.0654380506983206
20250604,SC2511,457.2,133.0,442.0,-0.0289061784360088
20250604,SC2512,456.1,65.0,824.0,-0.0421700412014554
20250604,SC2601,454.5,31.0,296.0,-0.0423187566643852
20250604,SC2602,452.9,10.0,75.0,-0.1519851446553456
20250604,SC2603,447.2,0.0,27.0,-0.0134243217937968
20250604,SC2604,446.7,0.0,25.0,0.0375503212082935
20250604,SC2605,448.1,0.0,5.0,0.0401025214486071
20250604,SC2606,449.6,10.0,156.0,-0.0690987457711484
20250604,SC2609,441.9,0.0,33.0,0.0458999299074988
20250604,SC2612,447.0,1.0,25.0,-0.0179372497893143
20250604,SC2703,445.0,2.0,20.0,-0.0189210849483508
20250604,SC2706,442.9,2.0,27.0,0.0081199982773646
20250604,SC2709,443.8,1.0,35.0,-0.0325793656245291
20250604,SC2712,440.2,1.0,47.0,-0.0659657643594854
20250604,SC2803,433.0,0.0,43.0,0.0
20250604,SC2806,433.0,0.0,0.0,0.0
20250605,SC2507,463.7,134999.0,20707.0,-0.1170233567047017
20250605,SC2508,459.2,27329.0,16401.0,-0.0523789570164131
20250605,SC2509,457.2,6062.0,5525.0,-0.047337339492196
20250605,SC2510,455.4,600.0,1170.0,-0.031662287498174
20250605,SC2511,454.2,64.0,455.0,-0.0396957027545416
20250605,SC2512,452.7,118.0,865.0,-0.0106077354973844
20250605,SC2601,452.3,217.0,412.0,-0.0771878007908252
20250605,SC2602,449.4,11.0,77.0,0.1380546200065692
20250605,SC2603,454.6,1.0,28.0,-0.2023118016584882
20250605,SC2604,447.0,0.0,25.0,0.029493926142342
20250605,SC2605,448.1,0.0,5.0,-0.0833056755102858
20250605,SC2606,445.0,14.0,161.0,0.0259828441880563
20250605,SC2609,447.9,2.0,34.0,-0.0125223715868024
20250605,SC2612,446.5,5.0,24.0,-0.0143594500182305
20250605,SC2703,444.9,0.0,20.0,-0.0180221075313744
20250605,SC2706,442.9,0.0,27.0,-0.0326458397896741
20250605,SC2709,439.3,1.0,34.0,0.0081864724425091
20250605,SC2712,440.2,0.0,47.0,-0.0558169871472534
20250605,SC2803,434.1,0.0,43.0,-0.0101487772122325
20250605,SC2806,433.0,0.0,0.0,0.0
