date,receipt,change
2025-07-28,21495,
2025-07-29,21113,
2025-07-30,13709,-7404.0
2025-07-31,0,-13709.0
2025-08-01,3000,3000.0
2025-08-04,10270,
2025-08-05,11540,1270.0
2025-08-06,11540,
2025-08-07,15370,3830.0
2025-08-08,20370,5000.0
2025-08-11,21954,1584.0
2025-08-12,21954,0.0
2025-08-13,22170,216.0
2025-08-14,16970,-5200.0
2025-08-15,14840,-2130.0
2025-08-18,15310,470.0
2025-08-19,15310,0.0
2025-08-20,15310,0.0
2025-08-21,15310,0.0
2025-08-22,15760,450.0
2025-08-25,15760,0.0
2025-08-26,15760,0.0
2025-08-27,15760,0.0
2025-08-28,15760,0.0
2025-08-29,15760,0.0
2025-09-01,15760,0.0
2025-09-02,15760,0.0
2025-09-03,15060,-700.0
2025-09-04,16344,1284.0
2025-09-05,18544,2200.0
2025-09-08,20244,1700.0
2025-09-09,24544,4300.0
2025-09-10,24544,0.0
2025-09-11,24544,0.0
2025-09-12,24544,0.0
2025-09-15,24544,0.0
2025-09-16,24544,0.0
2025-09-17,24544,0.0
2025-09-18,24544,0.0
2025-09-19,25644,1100.0
2025-09-22,25644,0.0
2025-09-23,25534,-110.0
2025-09-24,25534,0.0
2025-09-25,25534,0.0
2025-09-26,25534,0.0
2025-09-29,25534,0.0
2025-09-30,25534,0.0
2025-10-09,25444,-90.0
2025-10-10,25444,0.0
2025-10-13,25444,0.0
2025-10-14,25444,0.0
2025-10-15,26294,850.0
2025-10-16,26294,0.0
2025-10-17,26294,0.0
2025-10-20,26294,0.0
2025-10-21,26294,0.0
2025-10-22,26294,0.0
2025-10-23,26294,0.0
2025-10-24,27344,1050.0
2025-10-27,27144,-200.0
2025-10-28,27144,0.0
2025-10-29,27644,500.0
2025-10-30,27644,0.0
2025-10-31,27644,0.0
2025-11-03,27644,0.0
2025-11-04,27644,0.0
2025-11-05,27444,-200.0
2025-11-06,26460,-984.0
2025-11-07,26014,-446.0
2025-11-10,25805,-209.0
2025-11-11,25358,-447.0
2025-11-12,24993,-365.0
2025-11-13,24993,0.0
2025-11-14,24993,0.0
2026-03-18,25714,
2026-03-19,25342,-372.0
2026-03-20,24892,-450.0
2026-03-23,24892,0.0
2026-03-24,24892,0.0
2026-03-25,24892,0.0
2026-03-26,24690,-202.0
2026-03-27,24690,0.0
2026-03-30,13019,-11671.0
2026-03-31,0,-13019.0
2026-04-01,8000,8000.0
2026-04-02,12400,4400.0
2026-04-03,14950,2550.0
2026-04-07,17200,2250.0
2026-04-08,17200,0.0
2026-04-09,18700,1500.0
2026-04-10,22300,3600.0
2026-04-13,22300,0.0
2026-04-14,22300,0.0
2026-04-15,22300,0.0
2026-04-16,22300,0.0
2026-04-17,22300,0.0
2026-04-20,23220,920.0
2026-04-21,23220,0.0
2026-04-22,23220,0.0
2026-04-23,23220,0.0
2026-04-24,23220,0.0
2026-04-27,23220,0.0
2026-04-28,26220,3000.0
2026-04-29,27720,1500.0
2026-04-30,27720,0.0
2026-05-06,27720,0.0
2026-05-07,27720,0.0
2026-05-08,27720,0.0
2026-05-11,27720,0.0
2026-05-12,27520,-200.0
2026-05-13,27520,0.0
2026-05-14,25467,-2053.0
2026-05-15,25467,0.0
2026-05-18,25467,0.0
2026-05-19,25467,0.0
2026-05-20,25467,0.0
2026-05-21,25467,0.0
2026-05-22,25467,0.0
2026-05-25,25451,-16.0
2026-05-26,25215,-236.0
2026-05-27,25215,0.0
2026-05-28,24164,-1051.0
2026-05-29,24164,0.0
2026-06-01,24164,0.0
2026-06-02,24164,0.0
2026-06-03,24164,0.0
2026-06-04,24164,0.0
2026-06-05,24164,0.0
2026-06-08,24164,0.0
2026-06-09,24164,0.0
2026-06-10,24164,0.0
2026-06-11,24164,0.0
2026-06-12,24164,0.0
2026-06-15,24164,0.0
2026-06-16,24164,0.0
2026-06-17,24164,0.0
2026-06-18,24164,0.0
2026-06-22,25064,900.0
2026-06-23,25064,0.0
2026-06-24,25064,0.0
2026-06-25,25064,0.0
2026-06-26,25064,0.0
