排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,7053,-414.0,2025-08-18,cf2509,多单持仓,CF
2,国泰君安,8840,391.0,2025-08-18,cf2509,多单持仓,CF
3,华泰期货,13770,-206.0,2025-08-18,cf2509,多单持仓,CF
4,银河期货,9899,142.0,2025-08-18,cf2509,多单持仓,CF
5,申银万国,8239,186.0,2025-08-18,cf2509,多单持仓,CF
6,招商期货,10544,-427.0,2025-08-18,cf2509,多单持仓,CF
7,光大期货,9738,-422.0,2025-08-18,cf2509,多单持仓,CF
8,中粮期货,7379,-177.0,2025-08-18,cf2509,多单持仓,CF
9,东证期货,15714,-129.0,2025-08-18,cf2509,多单持仓,CF
10,海通期货,8537,-324.0,2025-08-18,cf2509,多单持仓,CF
1,中信期货,10502,-282.0,2025-08-19,cf2509,多单持仓,CF
2,国泰君安,6818,-301.0,2025-08-19,cf2509,多单持仓,CF
3,华泰期货,12650,257.0,2025-08-19,cf2509,多单持仓,CF
4,银河期货,6802,121.0,2025-08-19,cf2509,多单持仓,CF
5,申银万国,15676,-66.0,2025-08-19,cf2509,多单持仓,CF
6,招商期货,14724,-189.0,2025-08-19,cf2509,多单持仓,CF
7,光大期货,17626,309.0,2025-08-19,cf2509,多单持仓,CF
8,中粮期货,16587,445.0,2025-08-19,cf2509,多单持仓,CF
9,东证期货,18241,-306.0,2025-08-19,cf2509,多单持仓,CF
10,海通期货,10505,30.0,2025-08-19,cf2509,多单持仓,CF
1,中信期货,18228,-201.0,2025-08-20,cf2509,多单持仓,CF
2,国泰君安,13841,326.0,2025-08-20,cf2509,多单持仓,CF
3,华泰期货,14946,-424.0,2025-08-20,cf2509,多单持仓,CF
4,银河期货,14781,417.0,2025-08-20,cf2509,多单持仓,CF
5,申银万国,18934,-143.0,2025-08-20,cf2509,多单持仓,CF
6,招商期货,7918,-432.0,2025-08-20,cf2509,多单持仓,CF
7,光大期货,17512,324.0,2025-08-20,cf2509,多单持仓,CF
8,中粮期货,11903,-441.0,2025-08-20,cf2509,多单持仓,CF
9,东证期货,9192,-277.0,2025-08-20,cf2509,多单持仓,CF
10,海通期货,12093,290.0,2025-08-20,cf2509,多单持仓,CF
1,中信期货,17796,19.0,2025-08-21,cf2509,多单持仓,CF
2,国泰君安,8679,-119.0,2025-08-21,cf2509,多单持仓,CF
3,华泰期货,4761,262.0,2025-08-21,cf2509,多单持仓,CF
4,银河期货,12065,445.0,2025-08-21,cf2509,多单持仓,CF
5,申银万国,15464,403.0,2025-08-21,cf2509,多单持仓,CF
6,招商期货,11150,-75.0,2025-08-21,cf2509,多单持仓,CF
7,光大期货,13239,-313.0,2025-08-21,cf2509,多单持仓,CF
8,中粮期货,10881,121.0,2025-08-21,cf2509,多单持仓,CF
9,东证期货,15058,-482.0,2025-08-21,cf2509,多单持仓,CF
10,海通期货,13267,266.0,2025-08-21,cf2509,多单持仓,CF
1,中信期货,11151,-118.0,2025-08-22,cf2509,多单持仓,CF
2,国泰君安,13656,-444.0,2025-08-22,cf2509,多单持仓,CF
3,华泰期货,15636,-491.0,2025-08-22,cf2509,多单持仓,CF
4,银河期货,14857,-107.0,2025-08-22,cf2509,多单持仓,CF
